evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
Taller Nacional de Implementacion de VUCE;BOLIVIA;Rovere Maria Florencia;jefe (I) Departamento VUCE;Administración Federal de Ingresos Públicos;OMA;2023-09-03;2023-09-07
REUNIÓN CONSEJO DE ADMINISTRACIÓN DE FUNDACIÓN CEMNPA;ARGENTINA;LAURINEC FERNANDO;SUBGERENTE;Ministerio de Hacienda y Finanzas Públicas;FUNDACIÓN CEMNPA;2023-09-04;2023-09-06
INTERCAMBIO BILATERAL;CHINA;STANKEVICIUS NATALIA;GERENTA DE AREA PRODUCCION DE RADIOISOTOPOS Y APLICACIONES DE LA RADIACION;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;INVAP S.E.;2023-08-04;2023-08-12
AIIB Annual Meeting 2023;EGIPTO;Gorgal Leandro Adrián;Subsecretario;Ministerio de Economía;Banco Asiático de Inversión en Infraestructura;2023-09-22;2023-09-28
Presentación del Informe de Evaluación del Censo Demográfico 2022 de Brasil y XXV Encuentro de la Reunión Especializada de Estadísticas del MERCOSUR – REES;BRASIL;Chojo Martín;Director;Instituto Nacional de Estadística y Censos;UNFPA Brasil;2023-10-01;2023-10-06
Seminario “Conciliación de fuentes de información para la medición de la distribución del ingreso”;CHILE;Duclos Viviana Sandra;Directora;INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS;CEPAL;2023-10-09;2023-10-13
21 CONFERENCIA INTERNACIONAL DE ESTADÍSTICOS DEL TRABAJO;SUIZA;TRIANO MARIA SOLEDAD;COORD. DISEÑO CONCEPTUAL EPH;Instituto Nacional de Estadística y Censos;ORGANIZACION INTERNACIONAL DEL TRABAJO;2023-10-07;2023-10-22
Seminario Terrorismo y Delincuencia Organizada Puertos y Aeropuertos;REPÚBLICA DOMINICANA;LEMOS CARRERAS MARIA FLORENCIA;JEFE DIVISION;Dirección de Investigaciones;OMA;2023-07-16;2023-09-22
IX Encuentro Iberoamericano de Escuelas e Institutos de Administracion Publica;BRASIL;Castellani Ana Gabriela;Secretaria de Gestion y Empleo Publico;Jefatura de Gabinete de Ministros;CLAD;2023-09-03;2023-09-06
“II ENCUENTRO REGIONAL DE AMÈRICA LATINA Y CARIBE”;PARAGUAY;ZAMPA MARTIN RUBEN;prefecto;Prefectura Naval Argentina;Proyecto SEACOP, Unidades de Inteligencia Marítima (MIU);2023-08-29;2023-09-02
“II ENCUENTRO REGIONAL DE AMÈRICA LATINA Y CARIBE”;ARGENTINA;ZAMPA MARTIN RUBEN;PREFECTO;Prefectura Naval Argentina;Proyecto SEACOP, Unidades de Inteligencia Marítima (MIU);2023-08-29;2023-09-02
PARTICIPACIÓN DEL 1° ENCUENTRO DE INTEGRACIÓN DE MUJERES LATINOAMERICANAS;BRASIL;Mazzina Guiñazú Ximena Ayelen;Ministra;Ministerio de las Mujeres, Géneros y Diversidad;ITAIPU Binacional;2023-07-25;2023-07-26
Segundo Foro Regional sobre “Elaboración del Protocolo Regional de investigación de muertes violentas de personas LGBTIQ+;COLOMBIA;Rueda Alba;Subsecretaria;Unidad Gabinete de Asesores;Alto Comisionado de Naciones Unidas;2023-09-05;2023-09-08
37ª Sesión del Consejo Consultivo Científico de la OPAQ;HONDURAS;Biscotti Elma Lilia;Capitán de Navío;Instituto de Investigaciones Científicas y Técnicas para la Defensa;Organización para la Prohibición de Armas Químicas (OPAQ);2023-08-26;2023-09-03
"Participar del ""XIX Curso Internacional de Mediciones Internacionales en Grandes Ríos: técnicas de medición"".";BRASIL;Sosa Olga Mariana;Directora de Sistemas de Monitoreo de Recursos Hídricos.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores de Brasil.;2023-08-24;2023-09-03
SEMINARIO DE MEDIDAS DE FRONTERAS;BRASIL;farinelo adrian;jefe de verificacion;Administración Federal de Ingresos Públicos;IP KEY LATIN;2023-07-18;2023-07-21
SEMINARIO DE MEDIDAS DE FRONTERAS;BRASIL;FRANCO SAMANTA;VERIFICACION;Administración Federal de Ingresos Públicos;IP KEY LATIN;2023-07-18;2023-07-21
conferencia por la celebración de los 11 años de la Ley de Acceso a la Información brasileña y participación en panel;BRASIL;de Anchorena Beatriz;TITULAR;Agencia de Acceso a la Información Pública;CONTROLADORIA GERAL DA UNIÃO Gabinete do Ministro BRASIL;2023-05-15;2023-05-17
Motivo 44ª Reunión Plenaria del Comité Consultivo (COE) del Convenio para la Protección de las personas con respecto al Tratamiento Automático de Datos Personales (CONVENIO 108+);FRANCIA;ANCHORENA BEATRIZ;TITULAR;Agencia de Acceso a la Información Pública;COE- CONSEJO DE EUROPA;2023-06-12;2023-06-17
EVENTO NACIONAL DE PROTECCIÓN DE DATOS PERSONALES PERSPECTIVAS A 15 AÑOS DE LA LEY N° 18.331- URCDP UNIDAD REGULADORA Y DE CONTROL DE DATOS PERSONALES;URUGUAY;ANCHORENA BEATRIZ;TITULAR;Agencia de Acceso a la Información Pública;URCDP Unidad Reguladora y Control de Datos Personales;2023-08-10;2023-08-11
Sexto Simposio sobre Privacidad y Ciberseguridad en Latinoamérica;MÉXICO;DOZO ANASTASIA;DIRECTORA SIMPLE;Agencia de Acceso a la Información Pública;GLOBAL ESTUDIO JURIDICO JONES DAY;2023-04-23;2023-04-27
The Global CBPR Forum at One Year: Challenges and Opportunities, taller reuno a funcionarios gubernamentales, reguladores y otros expertos en privacidad de todo el mundo para explorar cómo mejorar y expandir el Sistema CBPR;REINO UNIDO;PAULERO VIOLETA;Directora Nacional de Protección de Datos Personales;Agencia de Acceso a la Información Pública;The Global CBPR Forum;2023-04-16;2023-04-21
EVENTO NACIONAL DE PROTECCIÓN DE DATOS PERSONALES PERSPECTIVAS A 15 AÑOS DE LA LEY N° 18.331- URCDP UNIDAD REGULADORA Y DE CONTROL DE DATOS PERSONALES;URUGUAY;PAULERO VIOLETAl;Directora Nacional de Protección de Datos Personales;Agencia de Acceso a la Información Pública;URCDP, Unidad Reguladora y Control de Datos Personales;2023-08-10;2023-08-11
Primera Reunión Ministerial de “Net Zero World” - Visitar el “Pacific Northwest National Laboratory”;ESTADOS UNIDOS;Garibotti Maria Cecilia;SUBSECRETARIA;MINISTERIO DE ECONOMÍA;Net Zero World;2023-08-13;2023-08-18
Workshop for Privacy Commissioners on right to privacy, data protection and freedom of expression during the World Press Freedom Day Conference;URUGUAY;DE ANCHORENA BEATRIZ;TITULAR;Agencia de Acceso a la Información Pública;UNESCO;2022-05-01;2022-05-03
Seminario sobre “Energía Solar Inteligente”;ECUADOR;TERÁN NOUGUÉS Florencia María del Corazón de Jesús;DIRECTORA DE ENERGIAS RENOVABLES;ME;OLADE;2023-07-22;2023-07-27
Primera misión técnica de Argentina a México del proyecto de cooperación bilateral “Desarrollo de capacidades de Argentina y México en el manejo del riesgo de sequias en la gestión integral de los recursos hídricos”.;MÉXICO;Storani Pablo Alfredo;Director Nacional de Política Hídrica y Coordinación Federal.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto de Argentina.;2023-08-06;2023-08-12
Primera misión técnica de Argentina a México del proyecto de cooperación bilateral “Desarrollo de capacidades de Argentina y México en el manejo del riesgo de sequias en la gestión integral de los recursos hídricos”.;MÉXICO;De Simone Silvia Noemí;Asesora en Cooperación Internacional y Desarrollo Sostenible de la Dirección Nacional de Política Hídrica y Coordinación Federal.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto de Argentina.;2023-08-06;2023-08-12
TALLER DE PRE ACREDITACIÓN DE EXPERTOS EN PROGRAMA MERCATOR;COLOMBIA;RIVAS María Teresa;JEFA INT DIV COOPERACIÓN ADUANERA;Dirección General de Aduanas;SECRETARÍA DE ESTADO PARA ASUNTOS ECONÓMICOS DE SUIZA Y ORGANIZACIÓN MUNDIAL DE ADUANAS;2023-07-23;2023-08-02
Asunción y Primera Sesión del Comité de Apoyo a la Aplicación y el Cumplimiento del Acuerdo de Escazú;CHILE;Nicolini Maria Cecilia;Secretaria de Cambio Climático, Desarrollo Sostenible e Innovación;Ministerio de Ambiente y Desarrollo Sostenible;Comisión Económica Para América Latina Y El Caribe (CEPAL);2023-08-09;2023-08-10
Conferencia Regional: Anticorrupcion y Contratacion Publica Transparente e Inclusiva;COLOMBIA;SOSA OMAR JULIAN;DIRECTOR NACIONAL DE INVESTIGACIONES;Oficina Anticorrupción;UNODC United Nations Office on Drugs and Crime;2023-07-24;2023-07-28
XV REUNIÓN DEL GRUPO DE TRABAJO INTERSESIONAL SOBRE LA REDUCCION DE GASES EFECTO INVERNADERO DE BUQUES DE LA ORGANIZACIÓN MARITIMA INTERNACIONAL (OMI);REINO UNIDO;Lauría Fernando;Asesor Jurídico de AGPSE;AGP#MTR;Lauría Fernando;2023-06-24;2023-07-03
43rd Plenary meeting - Committee of Convention 108;FRANCIA;DE ANCHORENA BEATRIZ;TITULAR;Agencia de Acceso a la Información Pública;Council of Europe -COE;2022-11-14;2022-11-19
XV REUNIÓN DEL GRUPO DE TRABAJO INTERSESIONAL SO BE LA REDUCCIÓN DE G A SES EFECTO INVERNADERO DE BUQUES DE LA ORGANIZACIÓN MARÍTIMA INTERNACIONAL (OMI);REINO UNIDO;Salom Diego;Director de la Dirección de Planificación Estratégica;Administración General de Puertos;Salom Diego;2023-06-24;2023-07-03
Seminario de cierre del proyecto de cooperación “Desarrollo de capacidades de Argentina y Brasil en el área de gestión integrada de recursos hídricos”.;BRASIL;Storani Pablo Alfredo;Director Nacional de Política Hídrica y Coordinación Federal.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores de Brasil.;2023-07-10;2023-07-14
Seminario de cierre del proyecto de cooperación “Desarrollo de capacidades de Argentina y Brasil en el área de gestión integrada de recursos hídricos”.;BRASIL;Sosa Olga Mariana;Directora de Sistemas de Monitoreo de Recursos Hídricos.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores de Brasil.;2023-07-10;2023-07-14
Seminario de cierre del proyecto de cooperación “Desarrollo de capacidades de Argentina y Brasil en el área de gestión integrada de recursos hídricos”.;BRASIL;Valladares Andrea Isabel;Asesora en Gestión de Cuencas de la Dirección Nacional de Política Hídrica y Coordinación Federal.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores de Brasil.;2023-07-10;2023-07-14
Seminario de cierre del proyecto de cooperación “Desarrollo de capacidades de Argentina y Brasil en el área de gestión integrada de recursos hídricos”.;BRASIL;De Simone Silvia Noemí;Asesora en Cooperación Internacional de la Dirección Nacional de Política Hídrica y Coordinación Federal.;Ministerio de Obras Públicas;Ministerio de Relaciones Exteriores de Brasil.;2023-07-10;2023-07-14
5ta Conferencia Regional sobre IPCC y Cambio Climático. NovoPangea Latam: Unidos por la Acción Climática;COLOMBIA;Nicolini Maria Cecilia;Secretaria;Secretaría de Cambio Climático, Desarrollo Sostenible e Innovación;Filantropía Cortés Solari y Fundación MERI;2023-07-12;2023-07-16
Presentación del Borrador de la “Carta Iberoamericana de Inteligencia Artificial en la Administración Pública” y en la VI Reunión de Expertos del “Índice de Gobernanza Iberoamericano”;COLOMBIA;Castellani Ana Gabriela;Secretaria de Gestion y Empleo Publico;JGM;CLAD;2023-07-04;2023-07-09
FORO DEL CARIBE SOBRE DELINCUENCIA MARÍTIMA (CFMC);REPÚBLICA DOMINICANA;VILLARREAL CARLOS ALFREDO;DIRECTOR;Prefectura Naval Argentina;UNODC;2023-06-12;2023-06-16
Proyecto Hipertyde: interfaces estuarias y costeras sujetas a condiciones extremas de marea ante el cambio climático;FRANCIA;Kazimierski Leandro David;Investigador;Instituto Nacional del Agua;Centre national de la recerche scientifique (CNRS);2023-06-17;2023-07-25
4to Foro Global contra el crimen de genocidio;ARMENIA;Villegas Federico;Embajador;Misión Perm. Rep. Argentina ante los Organismos Internacionales en Ginebra;Misión Permanente de Armenia en Ginebra;2022-12-11;2022-12-13
"Seminario regional ""Empresas y Trabajo Decente: la dimensión laboral de la conducta empresarial responsable en América latina y el Caribe”, el cual será impartido por el Centro Internacional de Formación de la OIT";PANAMÁ;VIOLA Jesica Carolina;SINEP – B2;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;OIT ORGANIZACIÓN INTERNACIONAL DEL TRABAJO;2022-08-30;2022-09-03
seminario “Global Raphael Lemkin para la Prevención del Genocidio”organizado por el Instituto Auschwitz para la Prevención del Genocidio y Atrocidades Masivas. (AIPG).;POLONIA;Loguzzo María Fabiana;Embajadora;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;AIPG - Instituto Auschwitz para la Prevención del Genocidio y Atrocidades Masivas.;2023-03-11;2023-03-22
Programa de Control de Contenedores (CCP) OMA UNODC;COLOMBIA;CHARMOLI YANINA PAULA;Analista Investigador;Subsecretaría de Ingresos Públicos;Naciones Unidas;2023-05-07;2023-05-13
37° Seminario Nacional de Presupuesto Público;ARGENTINA;Isasa Matias;Director;Administración Pública Nacional;ASAP;2023-05-17;2023-05-20
Foro sobre Procedimientos de Acuerdo Mutuo de la OCDE;FRANCIA;Munizaga Matias;Asesor de la Dirección de Relaciones Tributarias Internacionales;Ministerio de Economía;BID;2023-07-04;2023-07-08
Estancia de investigación en Institut Jean Lamour;FRANCIA;Solis Melisa Lara;Becaria A1D;Ministerio de Economía;Proyecto ULTIMATE – RISE H2020 de la UNIÓN EUROPEA;2023-04-02;2023-07-01
ENCUENTRO INTERNACIONAL ORGANIZADO POR LA DRUG ENFORCEMENT ADMINISTRATION (DEA);ECUADOR;LOPEZ BARRIOS RAMON HECTOR;COORDINADOR GRUPO OPERATIVO CONJUNTO DE LUCHA CONTRA LA CRIMINALIDAD ORGANIZADA DEL NORESTE ARGENTINO (GOC-NEA);MINISTERIO DE SEGURIDAD;Embajada de los Estados Unidos (DEA -BsAs);2023-06-25;2023-07-01
PROGRAMA INTERNACIONAL “PUERTOS INTELIGENTES”;ESTADOS UNIDOS;POSDELEY HECTOR HERNAN;PREFECTO;Prefectura Naval Argentina;DEPARTAMENTO DE ESTADO;2023-06-09;2023-08-02
CURSO “NIVELACIÓN DE IDIOMA INGLÉS” Y “GOBERNANZA Y SEGURIDAD MARÍTIMA”;ESTADOS UNIDOS;GALBAN SEBASTIAN LAUTARO;Supervisor Centro de Control de Tráfico;Prefectura Naval Argentina;ARMADA DE LOS ESTADOS UNIDOS;2022-11-13;2023-06-21
DIA DE LA GENTE DE MAR;COLOMBIA;LÓPEZ NOELIA MABEL;OFICIAL DEPTO GESTIÓN DE CALIDAD;Prefectura Naval Argentina;DIRECCIÓN GENERAL MARPITIMA-DIMAR;2023-06-26;2023-07-28
Encuentro del Grupo de Estudios de Servicios Urbanos Integrados (SG-URB) de la Comisión de Servicios (SERCOM) de la Organización Meteorológica Mundial (OMM).;SUIZA;Re Mariano;Investigador;Instituto Nacional del Agua;Organización Meteorológica Mundial;2023-06-10;2023-06-16
CENSO;URUGUAY;Ceballos Pablo;DIRECTOR NACIONAL;Instituto Nacional de Estadística y Censos;UNFPA;2023-07-06;2023-07-07
Segundo diálogo regional de intercambio de experiencias y buenas prácticas de emisiones de bonos temáticos en paises de la región;CHILE;Segal Nicolás;Subsecretario;Ministerio de Economía;BID;2023-06-24;2023-06-29
Primer diálo regional de intercambio de experiencias y buenas prácticas de emisiones de bonos temáticos en paises de la región;MÉXICO;Segal Nicolás;Subsecretario;Ministerio de Economía;BID;2023-03-17;2023-03-26
Reunión de Consultores convocada por el OIEA sobre mejoras en la performance de los elementos combustibles para reactores refrigerados por agua pesada;AUSTRIA;Alvarez Luis;Agente;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2023-06-10;2023-06-16
FONPLATA - 186ª REUNION DEL DIRECTORIO EJECUTIVO;BOLIVIA;SCALA LORENA SABRINA;DIRECTOR NACIONAL;Dirección Nacional de Financiamiento con Organismos Regionales de Crédito;FONPLATA;2023-04-20;2023-04-22
octavo taller de encuentro Regional para Estándares Técnicos de Infraestructura Penitenciaria (CETIP),;COSTA RICA;REGUEIRO DANIEL SEBASTIAN;DIRECTOR DE ORGANISMO;.;COMITE INTERNACIONAL DE LA CRUZ ROJA;2023-04-24;2023-05-01
Regional Training Course (Pilot) on Radiopharmaceuticals;COLOMBIA;Poch Carolina;Especialista en Radiofarmacia;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2023-03-12;2023-03-19
72° Junta del Fondo de Pensiones conjunto del Personal de las Naciones Unidas (UNJSPF);AUSTRIA;Rodolico Guillermo Valentín;Consejero de Embajada;Misión Perm. Rep. Argentina ante la FAO;FAO;2022-07-24;2022-07-30
Formación de Unidad de Inteligencia Marítima-MIU Nivel Avanzado en Paraguay;PARAGUAY;THONES NESTOR DAVID;OFICIAL PRINCIPAL;Prefectura Naval Argentina;Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas;2023-03-20;2023-03-24
Comparación Regional de Piranómetros y Pirheliómetros;URUGUAY;Nollas Fernando Martin;Investigador;Servicio Meteorológico Nacional;PTB;2022-11-22;2022-12-03
Study Tour on Measuring Time Use and Valuing Unpaid Work;MÉXICO;Bathory María Florencia;Statistician;Instituto Nacional de Estadística y Censos;Naciones Unidas;2023-04-23;2023-04-29
"Conferencia Regional ""DIÁLOGO CON SECTORES DE LA JUSTI EN LA TRIPLE FRONTERA; EL COMBATE DEL TRÁFICO DE PERSONAS EN ARGENTINA, BRASIL Y PARAGUAY Y SU RELACIÓN CON EL CRIMEN ORGANIZADO Y TERRORISMO INTERNACIONAL"".";BRASIL;MINETTI HERNAN EMANUEL;PREFECTO;Prefectura Naval Argentina;Embajada de Estados Unidos.;2023-05-22;2023-06-25
"12ª reunión del Management Board for the Development, Application and Validation of Nuclear Data and Codes (MBDAV); Consultancy Meeting on Nuclear Data Evaluation Training";FRANCIA;CANTARGI Florencia Olga;Gerente Área Académica;Administración Pública Nacional;IAEA;2023-05-28;2023-07-06
43° SESIÓN DEL COMITÉ INTERGUBERNAMENTAL DE RECURSOS GENÉTICOS, CONOCIMIENTOS TRADICIONALES Y EXPRESIONES CULTURALES (CIG) DE LA OMPI;SUIZA;Socoloff Nadia Soledad;Secretaria de Primera Clase;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Organización Mundial de la Propiedad Intelectual;2022-05-28;2022-06-04
"4° Reunión Anual de la Red FintechLAC, "" Construyendo un Ecosistema Fintech para la Inclusión Financiera""";ESTADOS UNIDOS;Breinlinger Martin Alberto;Director;Administración Pública Nacional;BID;2023-06-05;2023-06-12
62da. Sesión del Subcomité de Revisión de la Organización Mundial de Aduanas;BÉLGICA;Molina Anabella;Asesora;Ministerio de Economía;Organismo Internacional de Crédito BID;2023-06-03;2023-06-11
